,qID,sentence,option1,option2,answer,prediction,answer==pred,answer_occurs_first,comments,difficulty,ambiguous,knowledge needed,,,,stats,,%,
383,3VEI3XUCZRVX5GRKUS9RH4A84P0RPU-1,Diana went to the laundromat and she used the washer but not the dryer because she only had enough money for the _ .,washer,dryer,1,1,TRUE,1,,easy,,you need to pay for things,,,,# hard,20,0.2,
219,3R15W654VF7MWJWT9J3KNVFRRJNLQ2-2,"Lawrence dealt the cards to Joseph at the blackjack table, because _ was a professional player.",Lawrence,Joseph,2,1,FALSE,0,hard case,hard,yes,players and dealers in blackjack are different people (at a casino),,,,# ambiguous,13,0.13,
1042,3U74KRR67MJAIASZI21UDU6VNGZTNH-2,The gerbil came over to Laura but not Monica because _ was holding a hockey stick.,Laura,Monica,2,2,TRUE,0,,hard,,pets like objects?,,,,# wrong,27,,
892,39TX062QX32PPC7GPRUCLHH3OY63XM-2,The jeans fit worse than the shirt because I had tried the _ on at the store.,jeans,shirt,2,2,TRUE,0,,easy,,you try clothes to see if they fit,,,,# hard that model got wrong,10,0.3703703704,<- % of wrong answers that are hard
13,3XBXDSS88AX65GX5VXYCH3BLQWRXLG-1,He had enough time between classes to go to a cafe or to the library. He went to the _ because his paper could wait.,cafe,library,1,1,TRUE,1,,easy,,"paper->studying->library, cafe->relaxing",,,,# ambiguous that model got wrong,9,0.3333333333,<- % of wrong answers that are ambiguous
167,30F94FBDNTYNBQ29ZA8LEXUA12RTB0-2,"At the estate sale, John saw the hammer was more affordable than the screwdriver, because the _ was brand new.",hammer,screwdriver,2,2,TRUE,0,,easy,,new things are expensive,,,,# hard and not ambiguous,14,,
371,3AA88CN98P15RQ6QVVWDTJH6D14YKV-1,They were wanting  to move the bed thru the door. The _ was way to small.,door,bed,1,1,TRUE,0,,easy,,"""attempt/way too small"" -> bed didn't fit, size of objects/openings",,,,"# wrong, hard, not ambiguous",5,,
513,3XDSWAMB246TTF2NW6ALKCP5YK2QC7-2,"My employer offers a bonus of either a phone or a television, but unfortunately the _ is just way too small to be useful.",phone,television,2,1,FALSE,0,,hard,yes,small televisions are less useful than small phones,,,,accuracy on easy examples,,0.7875,
776,3IWA71V4TIE9S6VROVGA0M5FA4LX6M-1,If you are trying to get rid of blood spots from clothes use cold water instead of hot water the _ releases the stain.,cold water,hot water,1,1,TRUE,1,,easy,,blood spots are a type of stain,,,,accuracy on hard examples,,0.5,
1073,3XU9MCX6VQQG7YPLCSAFDPQOIFSR21-2,The class was going on a bus on a field trip to a local museum. The _ had to close at 4.,bus,museum,2,2,TRUE,0,,easy,,"museums close, buses don't",,,,accuracy on ambiguous examples,,0.3076923077,
1172,3NSM4HLQNT8XNGC61OBG4HEM326QQM-2,April gets stressed when she goes waterskiing more than swimming. The _ is filled with relaxation for her.,waterskiing,swimming,2,2,TRUE,0,,easy,,stressed != relaxation,,,,accuracy on hard non-ambiguous examples,,0.3571428571,
130,391FPZIE4CKX8RLDF9WRD6V1KFXUHU-2,The health of Joel was stronger than that of William due to _ being a cigar smoker.,Joel,William,2,2,TRUE,0,,easy,,smoking is bad,,,,,,,
283,3NCN4N1H1GFAMOYIIGA9D009H5SBNU-1,"Brian asked  Nick to feed their rabbit,because  _ was planning on going on vacation to Disney for a week.",Brian,Nick,1,1,TRUE,1,,easy,,people ask others to watch their pets when they're not home,,,,,,,
733,386659BNTLF6OUOJFDFMWCRNN1H10J-1,Jennifer got about with a seeing-eye dog but Mary did not because _ was blind.,Jennifer,Mary,1,2,FALSE,1,,easy,,seeying-eye dog is for blind people,,,,,,,
1195,3D1UCPY6GINZAB68HJIK5I0BZ0R38Y-1,The honey flows out slower from the bottle than the oil. The _ is viscous.,honey,oil,1,2,FALSE,1,reasonable,easy,,viscosity -> slower flow,,,,,,,
1197,3OZ4VAIBEXDTCC538Z9HL5DZBJYVJN-2,"Reading poetry and rhymes was very entertaining for Derrick but boring for Logan, since _ was a mathematician.",Derrick,Logan,2,2,TRUE,0,,easy,,math people (stereotypically) don't enjoy poetry,,,,,,,
401,32CXT5U14G14FGKKC52L0T22MDHU8S-2,"The virus stuck to the clothes better than it stuck to the walls, because the _ had less deterrents on them.",walls,clothes,2,1,FALSE,1,,hard,,deterrents prevent stuff?,,,,,,,
242,3BPP3MA3TEYXZG6O0S8KTEQE9O2LEC-2,We reached a settlement with the company but were roadblocked by the court.  The _ was just more inflexible in its dealings.,company,court,2,2,TRUE,0,,hard,,roadblocked <-> inflexible,,,,,,,
138,3L21G7IH47U3LPK4NLQVO4L7ZJ1Y1W-1,"Logan reads a lot, while Donald almost never picks up a book because _ is a student.",Logan,Donald,1,1,TRUE,1,,easy,,students read books,,,,,,,
1156,3UOMW19E6D4P64KISGAIU36586JC55-2,Benjamin thought Android was the superior phone system but Ian thought IOS was better. _ bought a new iPhone 9 from Verizon.,Benjamin,Ian,2,2,TRUE,0,,easy,,iphones run iOS,,,,,,,
25,3TFJJUELSJ3C1W02UVKKOUR1HSS2CY-1,"The roof of Rachel's home is old and falling apart, while Betty's is new. The home value of _ is lower.",Rachel,Betty,1,1,TRUE,1,,easy,,old homes are worth less,,,,,,,
405,3KVQ0UJWPXJYK2QN97AJ6XD85725WJ-1,"Adam always spent all of the free time watching Tv unlike Hunter who volunteered, due to _ being lazy.",Adam,Hunter,1,1,TRUE,1,,easy,,"watching tv -> lazy, or volunteering -> not lazy",,,,,,,
1167,3XWUWJ18TLO2DDRXF83QWLKRJ62UU5-1,"The pharmacy offered a product that could cure any disease, made of a new chemical and container, but the _ was not FDA approved.",chemical,container,1,1,TRUE,1,,easy,,FDA approves chemicals,,,,,,,
903,34OWYT6U3YVEEJ717EVL9KXA0HKI9Y-1,Ian laughs at Ryan because of the small Christmas tree they picked out. _ wants a six foot tree.,Ian,Ryan,1,1,TRUE,1,,easy,,people may laugh at each other when they have different expectations/want different things?,,,,,,,
831,3QQUBC64ZECHZR1JNC2R2XR15U8NXK-1,Lindsey has dark lips unlike Elena due to _ forgetting to put on chapsticks at night.,Lindsey,Elena,1,1,TRUE,1,,hard,,? (i do not have the knowledge to answer this),,,,,,,
837,32204AGAABAE39KIV47A9RUAGS3GHC-1,Steven was worried about the height requirements for the rollercoaster more than Dennis was since _ was short.,Steven,Dennis,1,1,TRUE,1,,easy,,roller coasters have a minimum height requirement,,,,,,,
798,3Y7LTZE0YTKJZCL7LV2YDDZ6G3MUZO-1,"Dennis made their weight loss goal before Eric, because _ only ate a healthy diet.",Dennis,Eric,1,1,TRUE,1,,easy,,healthy diet -> weight loss,,,,,,,
396,3ZURAPD28A1CFN2G2TA7RH20OPW1F1-1,"Neil was a very popular kid in school unlike Jeffrey, because _ was very extroverted.",Neil,Jeffrey,1,1,TRUE,1,,easy,,extroverted -> popular,,,,,,,
928,3TFJJUELSJ3C1W02UVKKOUR1H8FC2R-2,"Although Amy worked harder and longer than Rebecca, _ was a more wealthy person overall.",Amy,Rebecca,2,2,TRUE,0,,hard,,"working hard -> wealthy usually, but although -> flip result",,,,,,,
590,371QPA24C42MYSKHXDFW8LH1FUZ1TW-2,"Because of his rash, he opted not to wash with soap but with oil, as the _ would soothe it.",soap,oil,2,2,TRUE,0,,easy,,soothing a rash is good (something people would choose to do),,,,,,,
128,3YOAVL4CA0FKIERS6PBG091CMC5Z4Q-1,"Adam was law-abiding and not a crook like Joseph, so it was surprising that _ was the one with a restraining order against him.",Adam,Joseph,1,1,TRUE,1,,easy,,"crook -> restraining order usually, but surprising -> flip result",,,,,,,
88,3GV1I4SEOB3TM1D9UAPMHQY0RK6L64-2,"Amy thought she was the mirror image of Natalie , but _ could not be convinced to see the similarity.",Amy,Natalie,2,2,TRUE,0,,easy,,people have different thoughts?,,,,,,,
995,3SU800BH886PF9JNIXVLEIBA4CBQU0-1,"Felicia was given a leather belt from Betty to clean it, because _ knows how to do it.",Felicia,Betty,1,1,TRUE,1,,,,More knowledgable person does things,,,,,,,
671,3XABXM4AJ13CNND3VWIGQS5DJT98Q1-1,"Ben had to respect his toys and his books to ensure they last long. However, it was difficult to respect the _ because they were fun.",toys,books,1,1,TRUE,1,,,,"Toys are fun, people like playing with fun things",,,,,,,
307,3JMQI2OLFZ331LW2WC1F8QO9KS9NDM-2,Rebecca asked Kayla to turn the lights out but _ did not want to go to sleep.,Rebecca,Kayla,2,2,TRUE,0,,,,"If someone doesn't want to go to sleep, they won't turn out lights",,,,,,,
1066,306W7JMRYYWPJHBECELQV3AESFY8BI-1,Logan preferred to snowboard while Kyle wanted to do biathlon so _ went up the hill.,Logan,Kyle,1,1,TRUE,1,,,,"Snowboarding requires going up hill, biathalon does not",,,,,,,
363,33N1S8XHHOZIK4TG354EU9II0OYZ1J-1,John painted the pole red close to the color of the wall and painted the frame white and now the _ is contrasting.,frame,pole,1,2,FALSE,0,,hard,,"Knowledge of where things would be in space (pole and frame), knowledge of colors",,,,,,,
